No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3	
81  	Hydroxyphenamate	32,77	12,21	8,88	0,04	546	603	12,06	Acetic acid, chloro-, 1,1-dimethylethyl ester	Octane, 1-bromo-
82  	Benzene, 1-methyl-4-butyl	32,89	11,76	8,53	0,04	731	793	15,36	Benzaldehyde, 4-(1-methylethyl)-	Benzene, 1-methyl-4-(2-methylpropyl)-
83  	Butane, 1,4-diethoxy-	33,07	205,04	155,62	0,75	738	779	58,98	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	1-Penten-3-ol, 2-methyl-
85  	Oxirane, (phenoxymethyl)-	33,58	23,75	17,66	0,09	536	671	30,65	Benzene, (1,1-dimethylethoxy)-	Cyclohexasiloxane, dodecamethyl-
87  	Tridecane	33,73	24,60	18,31	0,09	863	893	17,56	Tetradecane	Dodecane
88  	2-Propenoic acid, 2-methyl-, octyl ester	33,82	165,76	125,72	0,61	920	920	65,55	2-Ethylhexyl methacrylate	Octane, 4-chloro-
91  	Oxirane, [[(2-ethylhexyl)oxy]methyl]-	34,20	19,23	14,22	0,07	912	912	78,02	1-Hexanol, 2-ethyl-	1-Pentanol, 2-ethyl-4-methyl-
92  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	34,32	12,27	8,93	0,04	620	671	12,13	Tetradecane	Decanoic acid, 2-propenyl ester
93  	Pyrrolidine, 1-(1-cyclohexen-1-yl)-	34,60	73,44	55,47	0,27	706	706	54,47	9-Borabicyclo[3.3.1]nonan-9-amine, N-methyl-	(Hexahydropyrrolizin-3-ylidene)-acetaldehyde
95  	Tetrydamine	35,32	12,49	9,09	0,04	716	725	33,39	3,6-Dimethyl-5-oxo-1,2,3,5-tetrahydroimidazo[1,2-a]pyrimidine	Pyrrolidine, 1-(1-cyclohepten-1-yl)-
97  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	35,64	10,83	7,82	0,04	799	807	50,14	3-Bromooctane	Butanoic acid, 2-propenyl ester
98  	Cyclohexane, 1,1'-methylenebis-	36,03	26,60	19,83	0,10	895	899	77,72	1,1'-Bicyclohexyl, 2-methyl-, cis-	Cyclohexane, 1,1'-(1,2-ethanediyl)bis-
99  	Tetradecane	36,20	14,34	10,50	0,05	891	894	17,32	Hexadecane	Pentadecane
101  	Benzene, (cyclohexylmethyl)-	36,60	15,74	11,56	0,06	786	869	93,30	Benzeneacetic acid, cyclohexyl ester	Benzene, (2-cyclohexylethyl)-
102  	Cyclohexanamine, N-cyclohexyl-	36,88	16,26	11,96	0,06	907	914	93,86	Butanoic acid, 4-dicyclohexylamino-4-oxo-	Gephyrotoxin 181b
103  	Silane, trimethoxy[3-(oxiranylmethoxy)propyl]-	37,20	60,52	45,64	0,22	877	879	96,65	Silane, butyltrimethoxy-	Trimethoxyvinylsilane
105  	Undecanenitrile	37,99	22,94	17,04	0,08	728	837	36,52	Dodecanenitrile	Tridecanenitrile
106  	Pentadecane	38,17	13,95	10,20	0,05	878	888	23,73	Hexadecane	Tetradecane
109  	5-Methyl-2-propyl-1,4,4a,5,6,7,8,8a-octahydroquinoline	39,50	103,28	78,18	0,38	706	731	41,57	1-Methyl-4(axial)ethynyl-trans-decahydroquinolin-4(equat)-ol	1-Methyl-4(equat)ethynyl-trans-decahydroquinolin-4(axial)-ol
111  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	39,71	6521,77	4962,52	24,06	914	914	87,12	3-Bromooctane	1-Butanol, 2-methyl-, propanoate
112  	Oxirane, 2,2'-[1,4-butanediylbis(oxymethylene)]bis-	39,82	36,97	27,72	0,13	801	820	23,71	Hexadecane	Decane, 2-methyl-
