No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3		
91  	Benzene, (1-butylheptyl)-	40,33	13,27	9,13	0,06	846	850	70,78	Benzene, (1-pentylheptyl)-	Benzene, (1-butyloctyl)-
93  	Benzene, (1-ethylnonyl)-	40,83	13,46	9,26	0,06	791	833	48,58	Benzene, (1-ethyldecyl)-	Benzene, (1-ethylbutyl)-
95  	Benzene, decyl-	41,01	21,95	15,35	0,09	840	857	53,96	Benzene, dodecyl-	Benzene, heptyl-
96  	Naphthalene, 1,2,3-trimethyl-4-propenyl-, (E)-	41,12	62,96	44,77	0,28	805	831	37,12	1,1'-Biphenyl, 2,2',5,5'-tetramethyl-	3,5,3',5'-Tetramethylbiphenyl
98  	Benzene, 1,1'-(2-methyl-1-propenylidene)bis-	41,28	11,19	7,64	0,05	761	778	31,70	Benzene, 1,1'-(3-methyl-1-propene-1,3-diyl)bis-	EMDP
99  	Benzene, (1-methyldecyl)-	41,36	12,09	8,28	0,05	814	860	32,81	Benzeneethanol, ß-methyl-	Benzene, (2-bromo-1-methylethyl)-
100  	1-Propene, 3-(2-cyclopentenyl)-2-methyl-1,1-diphenyl-	41,41	11,97	8,20	0,05	685	746	32,31	Thiocarbamic acid, N,N-dimethyl, S-1,3-diphenyl-2-butenyl ester	(2,3-Diphenylcyclopropyl)methyl phenyl sulfoxide, trans-
101  	Naphthalene, 1,2,3-trimethyl-4-propenyl-, (E)-	41,51	26,44	18,57	0,11	756	822	57,25	3,5,3',5'-Tetramethylbiphenyl	1,1'-Biphenyl, 2,2',5,5'-tetramethyl-
102  	Benzene, (1-pentylheptyl)-	41,61	11,71	8,01	0,05	868	879	82,36	Benzene, (1-pentylhexyl)-	Benzene, (1-hexylheptyl)-
103  	1H-Indene, 2,3-dihydro-1,1,3-trimethyl-3-phenyl-	41,67	59,54	42,32	0,26	825	841	70,84	2-Pentene, 4-methyl-2,4-diphenyl-	Benzene, 1,1'-(3,3-dimethyl-1-butenylidene)bis-
104  	Benzene, (1-propylnonyl)-	41,85	13,52	9,31	0,06	744	790	48,59	Benzene, dodecyl-	Benzene, (1-pentylheptyl)-
106  	Benzene, 1,2,4-trimethyl-	42,65	14,24	9,83	0,06	745	799	19,60	Benzene, 1,3-diethyl-	Benzene, 1,2,3-trimethyl-
108  	Benzene, 1,1'-(1,4-dimethyl-1-butene-1,4-diyl)bis-	43,07	23,22	16,27	0,10	720	756	40,91	2,4-Diphenyl-4-methyl-2(E)-pentene	Benzene, 1,1'-(3,3-dimethyl-1-butenylidene)bis-
110  	Squalene	57,38	65,25	46,41	0,29	809	853	48,49	1,6,10,14,18,22-Tetracosahexaen-3-ol, 2,6,10,15,19,23-hexamethyl-, (all-E)-(±)-	2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-

