No. 	Peak Name 	Retention Time	Amount 	Est. Amt.	Rel.Area 	SI 	RSI 	Prob 	Peak Name Hit 2	Peak Name Hit 3
61  	1-Undecanol	37,67	14,59	10,33	0,06	828	920	9,87	1-Hexadecanol	2-Methyl-1-undecanol
62  	2(3H)-Naphthalenone, 4,4a,5,6,7,8-hexahydro-4a,5-dimethyl-3-(1-methylethylidene)-, (4ar-cis)-	37,79	29,23	21,10	0,13	724	735	12,46	(E)-3-((4S,7R,7aR)-3,7-Dimethyl-2,4,5,6,7,7a-hexahydro-1H-inden-4-yl)-2-methylacrylaldehyde	2,2,7,7-Tetramethyltricyclo[6.2.1.0(1,6)]undec-4-en-3-one
63  	Pentadecane	38,14	24,09	17,31	0,10	723	861	10,09	Hexadecane	Dodecane
64  	1-Tetradecanamine, N,N-dimethyl-	38,21	19,71	14,10	0,08	874	892	35,56	1-Dodecanamine, N,N-dimethyl-	1-Tridecanamine, N,N-dimethyl-
65  	Butylated Hydroxytoluene	38,33	4310,02	3169,72	18,90	954	955	91,05	Phenol, 4,6-di(1,1-dimethylethyl)-2-methyl-	Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-, methylcarbamate
66  	Tridecane	38,74	10,16	7,07	0,04	793	864	7,16	Dodecane, 2,6,11-trimethyl-	Pentadecane
69  	5-Methyl-2-propyl-1,4,4a,5,6,7,8,8a-octahydroquinoline	39,46	12,51	8,80	0,05	690	726	31,27	(R,Z)-5-Methyl-6-((8R,8aS)-8-methylhexahydroindolizin-6(5H)-ylidene)hexan-2-one	1-Methyl-4(equat)ethynyl-trans-decahydroquinolin-4(axial)-ol
71  	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	39,61	31,54	22,79	0,14	859	869	67,09	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-	2-Propanol, 1-[1-methyl-2-(2-propenyloxy)ethoxy]-
72  	2-Propanol, 1,1'-[(1-methyl-1,2-ethanediyl)bis(oxy)]bis-	39,70	42,33	30,73	0,18	804	861	55,07	2-Propanol, 1-[1-methyl-2-(2-propenyloxy)ethoxy]-	2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-
73  	Hexadecane	39,78	53,95	39,28	0,23	847	894	15,68	Pentadecane	Heptadecane
