File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1102
Injection Number	26
Position	136
Comment	Lord 8525 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	4:49:11 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000722
Time Max. (min)	60.006800
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	428,779.391490
Signal Max.	6,424,765,800.182540
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.565233	0.204	1,265,369.722184
4.568635	0.2041	1,293,643.174902
4.572037	0.2041	1,286,114.419413
4.575437	0.204	1,291,042.738532
4.578838	0.2041	1,323,052.604868
4.582240	0.2041	1,346,835.149026
4.585640	0.204	1,370,125.590600
4.589042	0.2041	1,364,356.511306
4.592443	0.2041	1,356,392.865983
4.595843	0.204	1,379,548.219849
4.599245	0.2041	1,369,993.477404
4.602647	0.2041	1,310,427.342879
4.606048	0.2041	1,312,202.217770
4.609448	0.204	1,309,599.508236
4.612850	0.2041	1,231,740.683045
4.616252	0.2041	1,208,350.616968
4.619652	0.204	1,234,506.357231
4.623053	0.2041	1,221,408.494004
4.626455	0.2041	1,188,030.977618
4.629855	0.204	1,211,661.094473
4.633257	0.2041	1,251,854.408057
4.636658	0.2041	1,203,394.690115
4.640058	0.204	1,195,525.791032
4.643460	0.2041	1,212,039.106389
4.646862	0.2041	1,209,823.380451
4.650262	0.204	1,278,442.684936
4.653663	0.2041	1,363,490.385078
4.657065	0.2041	1,393,468.748912
4.660465	0.204	1,346,074.630480
4.663867	0.2041	1,434,810.030650
4.667268	0.2041	1,606,393.308186
4.670668	0.204	1,698,221.171076
4.674070	0.2041	1,842,024.004125
4.677472	0.2041	1,986,010.232512
4.680872	0.204	2,045,063.135537
4.684273	0.2041	2,165,341.363360
4.687675	0.2041	2,313,332.166363
4.691075	0.204	2,332,510.953254
4.694477	0.2041	2,338,051.401064
4.697878	0.2041	2,292,144.450277
4.701278	0.204	2,150,753.924941
4.704680	0.2041	2,122,558.754634
4.708082	0.2041	2,140,647.077960
4.711482	0.204	2,002,461.942947
4.714883	0.2041	1,802,089.224133
4.718285	0.2041	1,719,568.853785
4.721685	0.204	1,587,964.767596
4.725087	0.2041	1,486,425.132062
4.728488	0.2041	1,498,476.478948
4.731888	0.204	1,481,344.761155
4.735290	0.2041	1,398,811.716399
4.738692	0.2041	1,284,559.829049
4.742092	0.204	1,244,705.169830
4.745493	0.2041	1,268,463.893998
4.748895	0.2041	1,288,624.845483
4.752295	0.204	1,295,222.379130
4.755697	0.2041	1,368,546.702946
4.759098	0.2041	1,384,663.969083
4.762498	0.204	1,314,108.022214
4.765900	0.2041	1,354,201.259675
4.769302	0.2041	1,450,859.042971
4.772702	0.204	1,466,826.269529
4.776103	0.2041	1,477,936.595159
4.779505	0.2041	1,521,679.975969
4.782905	0.204	1,551,051.971012
4.786307	0.2041	1,601,924.187992
4.789708	0.2041	1,615,752.553917
4.793108	0.204	1,662,809.791352
4.796510	0.2041	1,798,649.810431
4.799912	0.2041	1,880,235.109160
4.803312	0.204	1,909,792.159082
4.806713	0.2041	1,940,306.473617
4.810115	0.2041	1,994,473.568358
4.813515	0.204	2,065,700.722628
4.816917	0.2041	2,068,284.189151
4.820318	0.2041	2,004,361.682332
4.823718	0.204	1,916,652.552880
4.827120	0.2041	1,811,513.152449
4.830522	0.2041	1,613,028.087884
4.833922	0.204	1,502,256.787284
4.837323	0.2041	1,450,353.890616
4.840725	0.2041	1,326,452.585063
4.844125	0.204	1,335,128.621854
4.847527	0.2041	1,310,359.024613
4.850928	0.2041	1,230,258.925257
4.854328	0.204	1,212,291.502813
4.857730	0.2041	1,207,055.753788
4.861132	0.2041	1,210,730.586674
4.864532	0.204	1,205,590.827105
4.867933	0.2041	1,231,457.840490
4.871335	0.2041	1,250,431.928748
4.874735	0.204	1,201,184.371579
4.878137	0.2041	1,178,476.299819
4.881538	0.2041	1,183,488.014357
4.884938	0.204	1,202,541.042262
4.888340	0.2041	1,183,803.427952
4.891742	0.2041	1,179,146.112353
4.895142	0.204	1,194,107.019310
4.898543	0.2041	1,153,409.451500
4.901945	0.2041	1,201,322.867028
4.905345	0.204	1,228,589.315343
4.908747	0.2041	1,173,606.347445
4.912148	0.2041	1,188,727.536242
4.915548	0.204	1,220,915.816463
4.918950	0.2041	1,212,092.017853
4.922352	0.2041	1,185,343.292315
4.925752	0.204	1,130,396.473223
4.929153	0.2041	1,110,253.999645
4.932555	0.2041	1,178,074.722076
4.935955	0.204	1,192,711.514876
4.939357	0.2041	1,119,718.682620
4.942758	0.2041	1,053,472.508574
4.946158	0.204	1,074,728.213900
4.949560	0.2041	1,149,625.908436
4.952962	0.2041	1,142,014.624103
4.956362	0.204	1,088,351.871535
4.959763	0.2041	1,081,192.368588
4.963165	0.2041	1,118,539.897048
4.966565	0.204	1,114,464.183471
4.969967	0.2041	1,118,238.982052
4.973368	0.2041	1,170,411.308622
4.976768	0.204	1,171,502.295898
4.980170	0.2041	1,173,940.032601
4.983572	0.2041	1,159,274.273434
4.986972	0.204	1,200,341.832319
4.990373	0.2041	1,380,548.402214
4.993775	0.2041	1,514,299.753739
4.997175	0.204	1,603,292.419366
5.000577	0.2041	1,718,031.280711
5.003978	0.2041	1,868,879.936611
5.007378	0.204	2,099,801.386755
5.010780	0.2041	2,377,076.194346
5.014182	0.2041	2,544,549.620144
5.017582	0.204	2,581,685.887781
5.020983	0.2041	2,622,206.569843
5.024385	0.2041	2,618,943.711161
5.027785	0.204	2,484,746.594335
5.031187	0.2041	2,413,532.810510
5.034588	0.2041	2,326,162.907828
5.037988	0.204	2,020,689.039541
5.041390	0.2041	1,824,559.443863
5.044792	0.2041	1,741,264.679405
5.048192	0.204	1,610,777.382105
5.051593	0.2041	1,472,555.649687
5.054995	0.2041	1,325,687.119617
5.058395	0.204	1,288,601.964976
5.061797	0.2041	1,294,433.700536
5.065198	0.2041	1,235,407.976770
5.068598	0.204	1,149,652.358424
5.072000	0.2041	1,101,766.658077
5.075402	0.2041	1,102,059.024553
5.078802	0.204	1,123,504.982787
5.082203	0.2041	1,148,212.250104
5.085605	0.2041	1,122,571.037595
5.089005	0.204	1,148,197.584323
5.092407	0.2041	1,171,986.909937
5.095808	0.2041	1,128,972.640074
5.099208	0.204	1,137,484.949129
5.102610	0.2041	1,134,165.935790
5.106012	0.2041	1,131,744.833480
5.109412	0.204	1,141,460.320208
5.112813	0.2041	1,142,824.610192
5.116215	0.2041	1,151,899.341479
5.119615	0.204	1,144,884.911493
5.123017	0.2041	1,139,914.133112
5.126418	0.2041	1,143,446.991180
5.129818	0.204	1,178,896.321033
5.133220	0.2041	1,222,617.217400
5.136622	0.2041	1,214,605.118494
5.140022	0.204	1,169,199.484685
5.143423	0.2041	1,143,960.038264
5.146825	0.2041	1,157,331.848711
5.150225	0.204	1,142,773.377080
5.153627	0.2041	1,076,889.805659
5.157028	0.2041	1,071,323.011912
5.160428	0.204	1,120,806.552346
5.163830	0.2041	1,142,076.821183
5.167232	0.2041	1,115,758.519805
5.170632	0.204	1,061,106.011934
5.174033	0.2041	1,022,766.239227
5.177435	0.2041	1,070,177.521345
5.180835	0.204	1,119,650.273062
5.184237	0.2041	1,088,518.921144
5.187638	0.2041	1,089,664.928303
5.191038	0.204	1,133,943.516105
5.194440	0.2041	1,175,248.695357
5.197842	0.2041	1,230,866.084879
5.201242	0.204	1,305,573.904104
5.204643	0.2041	1,351,381.564757
5.208045	0.2041	1,455,482.918657
5.211445	0.204	1,692,084.519671
5.214847	0.2041	1,925,199.907312
5.218248	0.2041	2,186,380.948733
5.221648	0.204	2,478,810.067476
5.225050	0.2041	2,858,934.754769
5.228452	0.2041	3,474,821.476094
5.231853	0.2041	4,348,751.204879
5.235253	0.204	5,357,709.596111
5.238655	0.2041	6,656,601.198081
5.242057	0.2041	8,424,727.290336
5.245457	0.204	10,187,999.056719
5.248858	0.2041	11,993,161.570136
5.252260	0.2041	14,013,787.583167
5.255660	0.204	15,149,075.842012
5.259062	0.2041	15,695,072.184339
5.262463	0.2041	16,283,804.988470
5.265863	0.204	16,231,891.690573
5.269265	0.2041	16,259,804.335683
5.272667	0.2041	16,578,784.223394
5.276067	0.204	16,589,230.692591
5.279468	0.2041	16,800,692.630766
5.282870	0.2041	17,187,453.649469
5.286270	0.204	16,842,292.667472
5.289672	0.2041	16,079,378.022456
5.293073	0.2041	15,050,206.321427
5.296473	0.204	13,641,811.778947
5.299875	0.2041	12,158,680.759797
5.303277	0.2041	10,478,453.647123
5.306677	0.204	8,892,685.721305
5.310078	0.2041	7,380,662.978752
5.313480	0.2041	6,008,510.189137
5.316880	0.204	4,927,714.844669
5.320282	0.2041	4,071,451.901347
5.323683	0.2041	3,479,405.848092
5.327083	0.204	2,962,484.058727
5.330485	0.2041	2,591,333.407103
5.333887	0.2041	2,294,963.799361
5.337287	0.204	2,075,235.423153
5.340688	0.2041	1,930,322.604912
5.344090	0.2041	1,726,817.289462
5.347490	0.204	1,686,766.120600
5.350892	0.2041	1,742,329.285010
5.354293	0.2041	1,683,188.897833
5.357693	0.204	1,571,372.982751
5.361095	0.2041	1,553,570.235417
5.364497	0.2041	1,561,477.868939
5.367897	0.204	1,532,689.878427
5.371298	0.2041	1,510,194.056853
5.374700	0.2041	1,459,370.097997
5.378100	0.204	1,445,400.244321
5.381502	0.2041	1,475,354.608079
5.384903	0.2041	1,440,981.347822
5.388303	0.204	1,415,326.941745
5.391705	0.2041	1,388,243.338898
5.395107	0.2041	1,361,327.015922
5.398507	0.204	1,370,156.479749
5.401908	0.2041	1,321,666.797198
5.405310	0.2041	1,350,412.156114
5.408710	0.204	1,363,052.215017
5.412112	0.2041	1,318,478.595430
5.415513	0.2041	1,330,312.649878
5.418913	0.204	1,334,117.255044
5.422315	0.2041	1,337,240.863418
