File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_1101
Injection Number	2
Position	112
Comment	3M DP6330 -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/2/2026
Injection Time	2:37:40 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000705
Time Max. (min)	60.006783
Data Points	16762
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	505,933.884412
Signal Max.	1,974,547,537.296650
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.731945	0.2041	752,886.244694
3.735345	0.204	828,244.932978
3.738747	0.2041	815,032.196992
3.742148	0.2041	747,063.462873
3.745548	0.204	764,014.289428
3.748950	0.2041	802,344.125867
3.752352	0.2041	764,513.435933
3.755752	0.204	757,827.274056
3.759153	0.2041	782,724.970875
3.762555	0.2041	722,440.096416
3.765955	0.204	740,932.515258
3.769357	0.2041	792,868.141105
3.772758	0.2041	772,050.491586
3.776158	0.204	780,110.942057
3.779560	0.2041	797,033.612129
3.782962	0.2041	789,443.031257
3.786362	0.204	787,159.510991
3.789763	0.2041	773,259.643700
3.793165	0.2041	753,886.471550
3.796565	0.204	770,318.339069
3.799967	0.2041	786,768.684372
3.803368	0.2041	813,683.179062
3.806768	0.204	813,496.444092
3.810170	0.2041	771,175.192407
3.813572	0.2041	791,284.346925
3.816972	0.204	786,919.890776
3.820373	0.2041	735,463.000009
3.823775	0.2041	735,664.002560
3.827175	0.204	745,145.260492
3.830577	0.2041	768,478.583045
3.833978	0.2041	805,875.477678
3.837378	0.204	816,157.228326
3.840780	0.2041	762,123.094669
3.844182	0.2041	708,114.070525
3.847582	0.204	764,115.869075
3.850983	0.2041	782,332.455862
3.854385	0.2041	760,892.628198
3.857785	0.204	787,906.390092
3.861187	0.2041	755,767.054168
3.864588	0.2041	746,613.374102
3.867988	0.204	779,789.855912
3.871390	0.2041	762,885.764032
3.874792	0.2041	803,023.073158
3.878192	0.204	820,629.258690
3.881593	0.2041	747,012.939871
3.884995	0.2041	722,768.057293
3.888395	0.204	749,792.835753
3.891797	0.2041	758,089.358971
3.895198	0.2041	773,557.320628
3.898598	0.204	766,061.814217
3.902000	0.2041	754,029.476973
3.905402	0.2041	783,035.594924
3.908802	0.204	764,672.573931
3.912203	0.2041	743,239.348309
3.915605	0.2041	740,195.156092
3.919005	0.204	737,090.175935
3.922407	0.2041	749,965.468436
3.925808	0.2041	782,687.430024
3.929208	0.204	784,903.302298
3.932610	0.2041	756,447.136971
3.936012	0.2041	791,870.721979
3.939412	0.204	818,131.232746
3.942813	0.2041	818,441.329363
3.946215	0.2041	797,763.436181
3.949615	0.204	759,749.047793
3.953017	0.2041	799,111.964933
3.956418	0.2041	787,614.135784
3.959818	0.204	802,649.178373
3.963220	0.2041	842,375.212180
3.966622	0.2041	780,257.166331
3.970022	0.204	738,599.543303
3.973423	0.2041	721,796.879586
3.976825	0.2041	707,048.696788
3.980225	0.204	726,374.114649
3.983627	0.2041	752,598.668933
3.987028	0.2041	782,361.244354
3.990428	0.204	799,218.463638
3.993830	0.2041	764,739.036560
3.997232	0.2041	757,822.748592
4.000632	0.204	782,009.573747
4.004033	0.2041	773,950.525459
4.007435	0.2041	769,034.787494
4.010835	0.204	748,359.363031
4.014237	0.2041	738,058.675099
4.017638	0.2041	752,951.647375
4.021038	0.204	743,777.524817
4.024440	0.2041	739,730.383238
4.027842	0.2041	726,666.758224
4.031242	0.204	723,364.878092
4.034643	0.2041	721,758.342123
4.038045	0.2041	742,189.127274
4.041445	0.204	755,388.336387
4.044847	0.2041	722,773.940366
4.048248	0.2041	729,509.173775
4.051648	0.204	764,202.601985
4.055050	0.2041	774,974.010959
4.058452	0.2041	766,586.283657
4.061852	0.204	774,627.553433
4.065253	0.2041	770,572.656169
4.068655	0.2041	759,587.469110
4.072055	0.204	742,753.651427
4.075457	0.2041	786,317.173939
4.078858	0.2041	833,400.346376
4.082258	0.204	759,451.344963
4.085660	0.2041	719,410.773917
4.089062	0.2041	752,791.211006
4.092462	0.204	772,749.577361
4.095863	0.2041	744,441.193064
4.099265	0.2041	744,217.624246
4.102667	0.2041	761,442.992527
4.106067	0.204	718,249.622876
4.109468	0.2041	692,966.006408
4.112870	0.2041	701,142.074698
4.116270	0.204	739,680.618947
4.119672	0.2041	782,608.228601
4.123073	0.2041	746,500.787156
4.126473	0.204	692,041.496662
4.129875	0.2041	703,850.314745
4.133277	0.2041	701,447.331442
4.136677	0.204	675,120.061111
4.140078	0.2041	676,997.308712
4.143480	0.2041	663,478.098669
4.146880	0.204	632,077.310556
4.150282	0.2041	635,930.272277
4.153683	0.2041	629,309.454213
4.157083	0.204	600,983.565296
4.160485	0.2041	603,226.540803
4.163887	0.2041	617,105.939064
4.167287	0.204	624,028.719346
4.170688	0.2041	622,565.515418
4.174090	0.2041	631,620.554889
4.177490	0.204	610,903.129170
4.180892	0.2041	596,696.429193
4.184293	0.2041	613,243.581226
4.187693	0.204	633,681.663999
4.191095	0.2041	620,015.924418
4.194497	0.2041	598,527.878430
4.197897	0.204	619,748.339155
4.201298	0.2041	588,592.760376
4.204700	0.2041	566,347.757158
4.208100	0.204	595,338.878841
4.211502	0.2041	587,270.272859
4.214903	0.2041	614,201.457667
4.218303	0.204	629,274.179209
4.221705	0.2041	604,164.489358
4.225107	0.2041	624,721.967881
4.228507	0.204	640,276.986115
4.231908	0.2041	606,864.514552
4.235310	0.2041	582,034.253935
4.238710	0.204	598,295.831513
4.242112	0.2041	607,622.412352
4.245513	0.2041	623,472.444118
4.248913	0.204	652,971.782237
4.252315	0.2041	659,787.719501
4.255717	0.2041	652,370.740801
4.259117	0.204	608,221.856971
4.262518	0.2041	575,508.917951
4.265920	0.2041	585,522.214601
4.269320	0.204	615,596.693359
4.272722	0.2041	602,960.418618
4.276123	0.2041	581,414.657681
4.279523	0.204	612,724.494773
4.282925	0.2041	586,502.522521
4.286327	0.2041	580,037.947020
4.289727	0.204	638,138.375512
4.293128	0.2041	640,810.917823
4.296530	0.2041	638,005.726590
4.299930	0.204	696,351.909218
4.303332	0.2041	733,003.432004
4.306733	0.2041	731,929.636624
4.310133	0.204	729,518.991659
4.313535	0.2041	767,471.734001
4.316937	0.2041	862,409.584989
4.320337	0.204	928,106.502324
4.323738	0.2041	992,858.869411
4.327140	0.2041	1,065,661.708882
4.330540	0.204	1,073,502.099538
4.333942	0.2041	1,137,994.261763
4.337343	0.2041	1,267,758.795521
4.340743	0.204	1,318,794.401642
4.344145	0.2041	1,356,508.260375
4.347547	0.2041	1,346,854.334852
4.350947	0.204	1,297,578.631829
4.354348	0.2041	1,306,893.470671
4.357750	0.2041	1,312,991.530813
4.361150	0.204	1,329,178.788339
4.364552	0.2041	1,355,843.293636
4.367953	0.2041	1,360,887.579643
4.371353	0.204	1,369,107.482987
4.374755	0.2041	1,348,385.369024
4.378157	0.2041	1,347,652.937487
4.381557	0.204	1,356,708.967701
4.384958	0.2041	1,295,409.356327
4.388360	0.2041	1,221,875.859035
4.391760	0.204	1,129,135.308145
4.395162	0.2041	1,108,209.281272
4.398563	0.2041	1,128,489.529220
4.401963	0.204	1,085,282.931050
4.405365	0.2041	1,043,542.885394
4.408767	0.2041	1,016,794.800099
4.412167	0.204	987,585.436836
4.415568	0.2041	983,628.457148
4.418970	0.2041	1,038,400.962113
4.422370	0.204	1,057,734.992012
4.425772	0.2041	1,045,758.761001
4.429173	0.2041	1,043,963.844571
4.432573	0.204	1,035,071.223864
4.435975	0.2041	1,061,911.707227
