File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_2_9717
Injection Number	20
Position	130
Comment	Betaforce 9075L -- 7 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/3/2026
Injection Time	10:16:03 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000510
Time Max. (min)	59.999785
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	413,974.755598
Signal Max.	6,996,324,128.399330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406686

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.479995	0.2041	940,224.466371
4.483395	0.204	924,414.611108
4.486797	0.2041	913,896.966734
4.490198	0.2041	957,732.116588
4.493598	0.204	969,554.801097
4.497000	0.2041	970,512.399380
4.500402	0.2041	971,206.933017
4.503802	0.204	1,003,267.808654
4.507203	0.2041	1,033,267.219204
4.510605	0.2041	1,048,374.563480
4.514005	0.204	1,067,616.600689
4.517407	0.2041	1,052,152.448486
4.520808	0.2041	1,083,462.686675
4.524208	0.204	1,129,396.731424
4.527610	0.2041	1,079,993.557273
4.531012	0.2041	1,051,945.643396
4.534412	0.204	1,097,974.732493
4.537813	0.2041	1,118,530.370585
4.541215	0.2041	1,153,270.802384
4.544615	0.204	1,207,937.796768
4.548017	0.2041	1,183,522.842434
4.551418	0.2041	1,183,674.150716
4.554818	0.204	1,262,287.840658
4.558220	0.2041	1,352,076.541693
4.561622	0.2041	1,332,246.655286
4.565022	0.204	1,307,858.231898
4.568423	0.2041	1,357,961.514875
4.571825	0.2041	1,315,611.388257
4.575225	0.204	1,333,035.212236
4.578627	0.2041	1,315,599.586226
4.582028	0.2041	1,299,457.922264
4.585428	0.204	1,347,579.250860
4.588830	0.2041	1,300,130.779314
4.592232	0.2041	1,296,646.417055
4.595632	0.204	1,242,219.503168
4.599033	0.2041	1,208,937.049464
4.602435	0.2041	1,284,789.696683
4.605835	0.204	1,266,404.637351
4.609237	0.2041	1,227,070.724317
4.612638	0.2041	1,251,294.190889
4.616038	0.204	1,252,285.046511
4.619440	0.2041	1,227,532.279988
4.622842	0.2041	1,254,125.646688
4.626242	0.204	1,272,705.953220
4.629643	0.2041	1,297,015.527115
4.633045	0.2041	1,275,627.544024
4.636445	0.204	1,225,623.978360
4.639847	0.2041	1,247,630.438636
4.643248	0.2041	1,290,735.334188
4.646648	0.204	1,313,958.734451
4.650050	0.2041	1,334,902.608439
4.653452	0.2041	1,358,068.686796
4.656852	0.204	1,358,810.555091
4.660253	0.2041	1,378,492.792550
4.663655	0.2041	1,431,123.204600
4.667057	0.2041	1,482,876.287880
4.670457	0.204	1,543,579.767611
4.673858	0.2041	1,567,027.187141
4.677260	0.2041	1,530,397.190447
4.680660	0.204	1,556,108.812522
