File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_9738
Injection Number	38
Position	148
Comment	3M PN7444 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	9:00:48 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.002335
Time Max. (min)	60.001645
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	2,353,989.479998
Signal Max.	5,350,993,072.447250
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.039675	0.2041	2,876,138.934201
4.043077	0.2041	2,994,919.490000
4.046477	0.204	3,013,285.888786
4.049878	0.2041	2,948,345.719824
4.053280	0.2041	2,956,426.888926
4.056680	0.204	2,939,580.928108
4.060082	0.2041	2,950,963.050494
4.063483	0.2041	2,917,279.274423
4.066883	0.204	2,882,198.254423
4.070285	0.2041	2,989,237.719898
4.073687	0.2041	3,018,600.945141
4.077088	0.2041	2,985,322.373663
4.080488	0.204	3,007,937.338057
4.083890	0.2041	2,842,588.933159
4.087292	0.2041	2,737,044.856240
4.090692	0.204	2,958,609.577703
4.094093	0.2041	2,951,231.888265
4.097495	0.2041	2,814,470.943429
4.100895	0.204	2,789,089.498902
4.104297	0.2041	2,709,141.183807
4.107698	0.2041	2,754,834.970183
4.111098	0.204	2,761,722.268541
4.114500	0.2041	2,629,502.395284
4.117902	0.2041	2,582,862.809151
4.121302	0.204	2,555,701.057220
4.124703	0.2041	2,508,918.972728
4.128105	0.2041	2,528,897.622190
4.131505	0.204	2,515,832.060501
4.134907	0.2041	2,501,879.161467
4.138308	0.2041	2,488,529.886849
4.141708	0.204	2,429,360.270490
4.145110	0.2041	2,424,097.399860
4.148512	0.2041	2,401,723.183726
4.151912	0.204	2,426,533.552403
4.155313	0.2041	2,414,803.801581
4.158715	0.2041	2,353,989.479998
4.162115	0.204	2,439,624.682181
4.165517	0.2041	2,489,116.051013
4.168918	0.2041	2,478,442.105965
4.172318	0.204	2,404,133.538836
4.175720	0.2041	2,354,309.417277
4.179122	0.2041	2,450,649.077894
4.182522	0.204	2,475,197.297886
4.185923	0.2041	2,477,851.046172
4.189325	0.2041	2,460,386.112706
4.192725	0.204	2,470,378.700826
4.196127	0.2041	2,437,446.500408
4.199528	0.2041	2,373,621.216512
4.202928	0.204	2,387,858.273646
4.206330	0.2041	2,422,381.923466
4.209732	0.2041	2,416,531.869501
4.213132	0.204	2,358,569.778010
4.216533	0.2041	2,429,483.089920
4.219935	0.2041	2,488,757.806531
4.223335	0.204	2,446,615.948660
4.226737	0.2041	2,404,380.663241
4.230138	0.2041	2,372,728.018434
4.233538	0.204	2,441,612.524548
4.236940	0.2041	2,446,661.598658
4.240342	0.2041	2,459,193.339863
4.243742	0.204	2,466,296.564832
4.247143	0.2041	2,402,543.389807
4.250545	0.2041	2,414,018.438021
4.253945	0.204	2,439,144.233258
4.257347	0.2041	2,449,591.919159
4.260748	0.2041	2,506,570.856227
4.264148	0.204	2,597,383.509777
4.267550	0.2041	2,652,027.119113
4.270952	0.2041	2,784,995.630816
4.274352	0.204	2,922,214.124913
