File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1129
Injection Number	35
Position	145
Comment	3M DP6330 -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/17/2026
Injection Time	5:42:10 PM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.000520
Time Max. (min)	59.996430
Data Points	16759
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,702,656.518569
Signal Max.	6,296,826,717.134330
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406699

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.592313	0.204	2,311,978.670819
3.595715	0.2041	2,215,842.347614
3.599117	0.2041	2,297,427.454773
3.602517	0.204	2,284,021.990813
3.605918	0.2041	2,234,124.776539
3.609320	0.2041	2,285,026.190473
3.612720	0.204	2,369,500.097026
3.616122	0.2041	2,362,911.066752
3.619523	0.2041	2,256,432.276531
3.622923	0.204	2,322,511.581333
3.626325	0.2041	2,375,790.454366
3.629727	0.2041	2,256,509.893502
3.633127	0.204	2,233,326.974707
3.636528	0.2041	2,318,264.262295
3.639930	0.2041	2,334,988.572437
3.643330	0.204	2,289,940.450295
3.646732	0.2041	2,318,190.334781
3.650133	0.2041	2,337,256.734718
3.653533	0.204	2,261,270.897074
3.656935	0.2041	2,259,834.662390
3.660337	0.2041	2,337,786.734870
3.663737	0.204	2,318,614.172127
3.667138	0.2041	2,302,132.849468
3.670540	0.2041	2,316,843.082402
3.673940	0.204	2,301,633.628567
3.677342	0.2041	2,295,434.185192
3.680743	0.2041	2,333,518.897881
3.684143	0.204	2,343,171.792282
3.687545	0.2041	2,273,758.195851
3.690947	0.2041	2,300,630.765318
3.694347	0.204	2,315,786.883585
3.697748	0.2041	2,265,736.883903
3.701150	0.2041	2,276,705.592048
3.704550	0.204	2,323,267.766522
3.707952	0.2041	2,378,040.387570
3.711353	0.2041	2,346,502.395422
3.714753	0.204	2,258,148.793610
3.718155	0.2041	2,248,539.069918
3.721557	0.2041	2,277,506.464705
3.724957	0.204	2,259,608.776125
3.728358	0.2041	2,290,859.492349
3.731760	0.2041	2,345,076.913599
3.735160	0.204	2,293,929.440641
3.738562	0.2041	2,230,897.028233
3.741963	0.2041	2,232,719.703878
3.745363	0.204	2,247,280.741334
3.748765	0.2041	2,273,448.298872
3.752167	0.2041	2,279,132.053834
3.755567	0.204	2,276,149.870746
3.758968	0.2041	2,335,496.291192
3.762370	0.2041	2,354,849.354316
3.765770	0.204	2,318,346.751741
3.769172	0.2041	2,347,771.016344
3.772573	0.2041	2,377,872.318525
3.775973	0.204	2,300,619.538068
3.779375	0.2041	2,280,107.982880
3.782777	0.2041	2,316,357.950530
3.786177	0.204	2,236,574.309874
3.789578	0.2041	2,194,508.720117
3.792980	0.2041	2,193,411.579313
3.796380	0.204	2,262,667.560682
3.799782	0.2041	2,284,260.307522
3.803183	0.2041	2,165,346.718266
3.806583	0.204	2,236,361.664478
3.809985	0.2041	2,273,932.811932
3.813387	0.2041	2,218,820.909390
3.816787	0.204	2,332,361.041968
3.820188	0.2041	2,415,755.230574
3.823590	0.2041	2,346,028.527147
3.826990	0.204	2,333,527.741376
3.830392	0.2041	2,348,801.690059
3.833793	0.2041	2,292,641.243083
3.837193	0.204	2,278,238.161945
3.840595	0.2041	2,224,540.144566
3.843997	0.2041	2,211,147.488058
3.847397	0.204	2,271,473.660821
3.850798	0.2041	2,227,153.518868
3.854200	0.2041	2,245,317.226158
3.857600	0.204	2,276,809.702802
3.861002	0.2041	2,274,853.684210
3.864403	0.2041	2,307,564.508200
3.867805	0.2041	2,237,102.726091
3.871205	0.204	2,187,470.508996
3.874607	0.2041	2,171,913.783048
3.878008	0.2041	2,208,242.074175
3.881408	0.204	2,315,276.048016
3.884810	0.2041	2,401,485.278559
3.888212	0.2041	2,372,744.549034
3.891612	0.204	2,286,977.200307
3.895013	0.2041	2,245,339.125221
3.898415	0.2041	2,265,419.164272
3.901815	0.204	2,296,444.704896
3.905217	0.2041	2,240,863.287173
3.908618	0.2041	2,274,683.042383
3.912018	0.204	2,335,986.666623
3.915420	0.2041	2,341,914.489987
3.918822	0.2041	2,294,794.130282
3.922222	0.204	2,242,161.826382
3.925623	0.2041	2,296,202.399450
3.929025	0.2041	2,296,242.103343
3.932425	0.204	2,343,767.330041
3.935827	0.2041	2,390,671.687523
3.939228	0.2041	2,333,013.056698
3.942628	0.204	2,306,234.656072
3.946030	0.2041	2,256,232.559259
3.949432	0.2041	2,271,662.695025
3.952832	0.204	2,333,165.468840
3.956233	0.2041	2,316,535.219968
3.959635	0.2041	2,292,772.053973
3.963035	0.204	2,279,018.056114
3.966437	0.2041	2,320,825.362378
3.969838	0.2041	2,286,686.032690
3.973238	0.204	2,164,067.728045
3.976640	0.2041	2,163,125.757048
3.980042	0.2041	2,159,199.642573
3.983442	0.204	2,125,513.790439
3.986843	0.2041	2,119,281.463055
3.990245	0.2041	2,187,503.607919
3.993645	0.204	2,223,195.355965
3.997047	0.2041	2,238,156.799670
4.000448	0.2041	2,263,612.850087
4.003848	0.204	2,289,257.236104
4.007250	0.2041	2,343,642.163848
4.010652	0.2041	2,325,825.285792
4.014052	0.204	2,259,904.006312
4.017453	0.2041	2,237,094.377455
4.020855	0.2041	2,220,682.928679
4.024255	0.204	2,142,043.651715
4.027657	0.2041	2,178,340.145963
4.031058	0.2041	2,299,517.448992
4.034458	0.204	2,387,092.986481
4.037860	0.2041	2,344,747.899921
4.041262	0.2041	2,222,020.249939
4.044662	0.204	2,150,336.966924
4.048063	0.2041	2,163,101.207626
4.051465	0.2041	2,293,958.458507
4.054865	0.204	2,353,529.284224
4.058267	0.2041	2,272,968.043505
4.061668	0.2041	2,206,775.647766
4.065068	0.204	2,223,298.426023
4.068470	0.2041	2,249,543.905861
4.071872	0.2041	2,174,003.393641
4.075272	0.204	2,229,416.827641
4.078673	0.2041	2,320,396.024162
4.082075	0.2041	2,280,601.433632
4.085475	0.204	2,310,499.075098
4.088877	0.2041	2,187,666.648670
4.092278	0.2041	2,158,396.502852
4.095678	0.204	2,258,659.208472
4.099080	0.2041	2,221,538.105177
4.102482	0.2041	2,157,022.496258
4.105882	0.204	2,102,860.095670
4.109283	0.2041	2,100,301.723956
4.112685	0.2041	2,090,234.315178
4.116085	0.204	2,043,688.483534
4.119487	0.2041	1,997,441.749810
4.122888	0.2041	1,985,356.758575
4.126288	0.204	1,926,143.348915
4.129690	0.2041	1,902,332.278297
4.133092	0.2041	1,918,970.805022
4.136492	0.204	1,864,639.838183
4.139893	0.2041	1,842,626.633095
4.143295	0.2041	1,756,575.123499
4.146695	0.204	1,788,843.753744
4.150097	0.2041	1,959,380.720367
4.153498	0.2041	1,846,364.591544
4.156898	0.204	1,726,020.439802
4.160300	0.2041	1,828,173.044670
4.163702	0.2041	1,883,143.493185
4.167102	0.204	1,918,433.071520
4.170503	0.2041	1,823,561.455361
4.173905	0.2041	1,718,066.531199
4.177305	0.204	1,891,372.635269
4.180707	0.2041	1,936,896.359689
4.184108	0.2041	1,806,649.210205
4.187508	0.204	1,840,247.420777
4.190910	0.2041	1,868,189.798861
4.194312	0.2041	1,883,665.411162
4.197712	0.204	1,905,820.476426
4.201113	0.2041	1,868,987.972609
4.204515	0.2041	1,922,649.799111
4.207915	0.204	1,939,657.950052
4.211317	0.2041	1,824,785.887165
