File Path	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Injection	2026_04_17_1125
Injection Number	44
Position	154
Comment	Betaforce 9075L -- 28 Tage
Processing Method	VDA T-Ä Auswertung Logemann
Instrument Method	SDM
Type	Unknown
Status	Finished
Injection Date	4/18/2026
Injection Time	3:37:04 AM
Injection Volume (µl)	20.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	3.001017
Time Max. (min)	60.000327
Data Points	16760
Detector	ISQ
Generating Data System	Chromeleon 7.2.9 Build 11323 (300176)
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1,707,992.916662
Signal Max.	11,291,955,169.814200
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406698

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
4.177802	0.204	1,824,925.904004
4.181203	0.2041	1,800,731.649304
4.184605	0.2041	1,819,491.978287
4.188005	0.204	1,928,094.630943
4.191407	0.2041	1,846,174.984121
4.194808	0.2041	1,725,344.269910
4.198208	0.204	1,823,550.002518
4.201610	0.2041	1,858,735.766595
4.205012	0.2041	1,837,492.044171
4.208412	0.204	1,789,100.996205
4.211813	0.2041	1,856,412.418915
4.215215	0.2041	1,933,642.831266
4.218615	0.204	1,862,874.001468
4.222017	0.2041	1,885,579.725663
4.225418	0.2041	1,906,019.385653
4.228818	0.204	1,843,198.913395
4.232220	0.2041	1,818,539.183755
4.235622	0.2041	1,885,496.020480
4.239022	0.204	1,982,495.174327
4.242423	0.2041	1,969,220.090799
4.245825	0.2041	1,820,176.706163
4.249225	0.204	1,707,992.916662
4.252627	0.2041	1,838,541.421584
4.256028	0.2041	2,005,285.046745
4.259428	0.204	1,928,141.861450
4.262830	0.2041	1,883,529.602708
4.266232	0.2041	2,027,378.878033
4.269632	0.204	2,114,020.907292
4.273033	0.2041	2,113,116.884972
4.276435	0.2041	2,194,433.248555
4.279835	0.204	2,396,178.005369
4.283237	0.2041	2,504,884.536501
4.286638	0.2041	2,719,997.913683
4.290040	0.2041	3,072,169.561855
4.293440	0.204	3,269,131.156396
